Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64133508f7c586a7bae253d7,5fb7e27bfec8e14167bddfef,AWAITING REVIEW,2023-03-16T15:26:00.425000Z,2023-03-16T15:40:49.986000Z,,2023-03-16T15:40:57.528108Z,890,CVCWHIQC,177,27,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6413350af5d5e28483a2674e,5c8aaa510de08f00016e4385,AWAITING REVIEW,2023-03-16T15:26:02.324000Z,2023-03-16T15:32:18.429000Z,,2023-03-16T15:32:18.860901Z,377,CVCWHIQC,316,28,Male,White,Macao,Portugal,Portugal,Portuguese,No,Other
64133518f7ddf9230e94060a,60ca883c03ff81263967f06a,AWAITING REVIEW,2023-03-16T15:26:16.343000Z,2023-03-16T16:19:17.662000Z,,2023-03-16T16:19:18.030173Z,3182,NOCODE,195,23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6413351946dee74452e39856,5f3d71e21cdd47124dd87d88,AWAITING REVIEW,2023-03-16T15:26:17.297000Z,2023-03-16T15:36:19.101000Z,,2023-03-16T15:36:19.475078Z,602,CVCWHIQC,290,23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6413351b934db57a59135c11,5c50dfc089254700019f5bab,AWAITING REVIEW,2023-03-16T15:26:19.481000Z,2023-03-16T15:35:18.978000Z,,2023-03-16T15:35:19.497596Z,540,CVCWHIQC,98,34,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64133527ef909682f8df89ea,5f7c41f542eebd02c85a59ea,AWAITING REVIEW,2023-03-16T15:26:31.429000Z,2023-03-16T15:39:03.375000Z,,2023-03-16T15:39:03.778579Z,752,CVCWHIQC,306,26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64133527fe21c37cfdb0007b,5f983fad466c460c50a7889f,AWAITING REVIEW,2023-03-16T15:26:31.771000Z,2023-03-16T15:38:13.212000Z,,2023-03-16T15:38:15.117105Z,702,CVCWHIQC,163,24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
64133528fa7511d53772ac89,60e0fb829cfeffe79084eaf0,AWAITING REVIEW,2023-03-16T15:26:32.416000Z,2023-03-16T15:43:32.890000Z,,2023-03-16T15:43:34.983360Z,1021,CVCWHIQC,100,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6413352d3365e7a9422f4a24,5c549c6372fd9000018b5968,AWAITING REVIEW,2023-03-16T15:26:37.310000Z,2023-03-16T15:59:32.755000Z,,2023-03-16T15:59:34.942225Z,1976,CVCWHIQC,685,27,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64133533420d73aaca8eba23,61672b5fff664f421d08d29c,AWAITING REVIEW,2023-03-16T15:27:16.164000Z,2023-03-16T15:49:11.179000Z,,2023-03-16T15:49:11.575376Z,1316,CVCWHIQC,38,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
64133537c68e8234453ea2d5,5f8739ae0483431242e11d41,AWAITING REVIEW,2023-03-16T15:26:47.275000Z,2023-03-16T15:49:18.914000Z,,2023-03-16T15:49:19.510767Z,1352,CVCWHIQC,276,25,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64133538d782634fff55e290,5ee17a9321c28b560db7a981,AWAITING REVIEW,2023-03-16T15:26:48.445000Z,2023-03-16T15:34:05.924000Z,,2023-03-16T15:34:06.369630Z,438,CVCWHIQC,169,22,Male,Other,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
64133538f4b76ad10f8c0b22,6050de36565b8a6c1bd30772,AWAITING REVIEW,2023-03-16T15:26:56.616000Z,2023-03-16T15:37:18.193000Z,,2023-03-16T15:37:19.004884Z,622,CVCWHIQC,484,48,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64133538fa7511d53772ac8b,606383d922f3cace6800e8dc,AWAITING REVIEW,2023-03-16T15:27:14.081000Z,2023-03-16T15:35:48.899000Z,,2023-03-16T15:35:49.279317Z,515,CVCWHIQC,217,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
6413353cc3389d66e51b8b1a,604d242c7c866fc358db7d48,AWAITING REVIEW,2023-03-16T15:27:00.321000Z,2023-03-16T15:35:23.703000Z,,2023-03-16T15:35:24.181433Z,504,CVCWHIQC,314,37,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64133544244580a72080a969,5e8cbaafcbf01e067b12002a,AWAITING REVIEW,2023-03-16T15:27:13.053000Z,2023-03-16T15:40:36.998000Z,,2023-03-16T15:40:45.167581Z,804,CVCWHIQC,213,36,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
64133549855966f17d8f33ba,5c2288f7867f660001ad65bc,AWAITING REVIEW,2023-03-16T15:28:37.397000Z,2023-03-16T15:43:27.660000Z,,2023-03-16T15:43:28.163600Z,891,CVCWHIQC,161,40,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
6413354ea335c3cdb207dfab,6053bd8e336d9fc322bf3dd9,AWAITING REVIEW,2023-03-16T15:29:28.235000Z,2023-03-16T15:41:26.156000Z,,2023-03-16T15:41:26.476204Z,718,CVCWHIQC,114,23,Female,Other,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
64133551c8102a3c349bec09,60bea79ca33883c28346a1e9,AWAITING REVIEW,2023-03-16T15:27:13.973000Z,2023-03-16T15:37:13.431000Z,,2023-03-16T15:37:13.765421Z,600,CVCWHIQC,86,20,Male,White,DATA_EXPIRED,Portugal,Portugal,Portuguese,Yes,DATA_EXPIRED
64133558fafadda9fd66beb2,61635d1afa38f65a8ce24035,AWAITING REVIEW,2023-03-16T15:27:20.752000Z,2023-03-16T15:37:51.495000Z,,2023-03-16T15:37:51.847450Z,631,CVCWHIQC,227,23,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6413355ffb415db779cf2a58,60358e8f4cf36d6725a603dd,AWAITING REVIEW,2023-03-16T15:27:27.558000Z,2023-03-16T15:39:26.762000Z,,2023-03-16T15:39:27.218293Z,720,CVCWHIQC,172,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6413356283c2d6b56ddf6553,5da8912f5a994b001650f01f,AWAITING REVIEW,2023-03-16T15:35:16.730000Z,2023-03-16T15:53:53.339000Z,,2023-03-16T15:53:53.795638Z,1117,CVCWHIQC,442,41,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64133565a20527a52ecfe97c,613a169f07a00119a4c105b9,AWAITING REVIEW,2023-03-16T15:29:10.114000Z,2023-03-16T15:37:03.725000Z,,2023-03-16T15:37:04.502371Z,474,CVCWHIQC,150,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6413356635fcfdba6878d5f4,5ef9a3f085fd347438975462,AWAITING REVIEW,2023-03-16T15:27:34.121000Z,2023-03-16T15:38:18.014000Z,,2023-03-16T15:38:18.417307Z,644,CVCWHIQC,294,34,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6413356baef982ee95152300,5bdc97be76d6d50001bc2c84,AWAITING REVIEW,2023-03-16T15:27:39.918000Z,2023-03-16T15:42:46.035000Z,,2023-03-16T15:42:46.456741Z,907,CVCWHIQC,175,39,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6413356c7eebb8b884d0894a,5db0d1449975f80015854c6a,AWAITING REVIEW,2023-03-16T15:27:48.071000Z,2023-03-16T15:38:26.851000Z,,2023-03-16T15:38:27.573035Z,639,CVCWHIQC,145,28,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
6413356d0ca417d2a0d55c6c,5f1b5383718fb9174851cf78,AWAITING REVIEW,2023-03-16T15:28:39.243000Z,2023-03-16T15:45:04.149000Z,,2023-03-16T15:45:38.676384Z,985,CVCWHIQC,116,22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
6413356fb4656dc48f13cb5b,60ad18618133abd4e6a13f3d,AWAITING REVIEW,2023-03-16T15:27:43.194000Z,2023-03-16T15:38:46.342000Z,,2023-03-16T15:38:46.756375Z,664,CVCWHIQC,233,23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
64133571b3e15924be1b8ac0,5d34d232468585001a1ea5f3,AWAITING REVIEW,2023-03-16T15:27:45.117000Z,2023-03-16T15:36:56.158000Z,,2023-03-16T15:36:56.506900Z,552,CVCWHIQC,34,22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6413357587ff6c34ec23d9b8,5ed7c79a7676d20ada139ad6,AWAITING REVIEW,2023-03-16T15:27:49.586000Z,2023-03-16T15:37:21.060000Z,,2023-03-16T15:37:21.471433Z,572,CVCWHIQC,201,22,Male,White,United States,Portugal,Portugal,Portuguese,Yes,Full-Time
6413357ac6442c9afa485377,60756d8d77104c29f837c33f,AWAITING REVIEW,2023-03-16T15:27:54.732000Z,2023-03-16T15:38:55.443000Z,,2023-03-16T15:38:57.643482Z,661,CVCWHIQC,156,21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6413357bc8df177be3246f92,60416e49cd2c5e13e84ec4eb,AWAITING REVIEW,2023-03-16T15:27:55.568000Z,2023-03-16T16:05:40.969000Z,,2023-03-16T16:05:41.338377Z,2266,CVCWHIQC,246,20,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
641335817025ac75dd08fef2,602ae9e3338e8e1df07284b4,AWAITING REVIEW,2023-03-16T15:29:18.220000Z,2023-03-16T15:39:39.951000Z,,2023-03-16T15:39:40.839170Z,622,CVCWHIQC,370,38,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
641335817b343ce1fb01fd49,6010556227f86b3444cbe498,AWAITING REVIEW,2023-03-16T15:28:01.178000Z,2023-03-16T15:41:53.377000Z,,2023-03-16T15:41:54.106683Z,833,CVCWHIQC,183,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
64133584ceb49510d8b0005c,6079afe0656d66a72625f641,AWAITING REVIEW,2023-03-16T15:28:04.507000Z,2023-03-16T15:44:38.003000Z,,2023-03-16T15:45:07.207214Z,994,CVCWHIQC,82,24,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6413358875c2b8ebe78f3372,5f67904169a51c3b06d32fa3,AWAITING REVIEW,2023-03-16T15:28:08.865000Z,2023-03-16T15:39:55.049000Z,,2023-03-16T15:39:56.921933Z,707,CVCWHIQC,161,20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6413358c3b0b63ef2855e291,6141e960f04021e2c58e519f,AWAITING REVIEW,2023-03-16T15:28:12.186000Z,2023-03-16T15:47:34.951000Z,,2023-03-16T15:47:35.883056Z,1163,CVCWHIQC,17,25,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6413358cf602be9122314b72,5e064bb24cac68036b16461f,AWAITING REVIEW,2023-03-16T15:28:12.717000Z,2023-03-16T15:41:42.599000Z,,2023-03-16T15:41:42.999276Z,810,CVCWHIQC,447,25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6413359025544cbab47371aa,60db9412ba928de1fdc2269e,AWAITING REVIEW,2023-03-16T15:28:41.140000Z,2023-03-16T15:52:06.689000Z,,2023-03-16T15:52:07.119633Z,1406,CVCWHIQC,344,66,Female,White,Netherlands,Portugal,Netherlands,Dutch,No,Part-Time
64133590d01c91d4cc73718b,5fbad1fdefe4a5b5967417db,AWAITING REVIEW,2023-03-16T15:28:16.245000Z,2023-03-16T16:07:53.520000Z,,2023-03-16T16:07:53.875436Z,2378,CVCWHIQC,411,49,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
